Prov,trees,avg leaf area,avg dry wt,avg_SLA
1,1,40.62785714,0.7507,54.11996422
1,2,32.31766667,0.558833333,57.83059946
1,3,27.2813,0.498071429,54.77387064
1,4,40.19530769,0.752,53.45120704
1,5,27.99607143,0.523533333,53.47524149
2,1,32.6991,0.6042,54.11966236
2,2,29.5121875,0.47525,62.09823777
2,3,29.006625,0.651444444,44.52662886
2,4,23.7948125,0.4326875,54.99306659
2,5,41.953625,0.8199375,51.16685723
3,1,37.15185714,0.6185,60.06767525
3,2,35.02461538,0.585375,59.83278306
3,3,34.60322222,0.5475,63.20223237
3,4,38.77713333,0.719941176,53.86153008
3,5,35.86572727,0.6732,53.27648139
4,1,35.95,0.648,55.47839506
4,2,26.472,0.488,54.24590164
4,3,23.92278571,0.476,50.25795318
4,4,37.5214375,0.585375,64.09812086
4,5,24.40844444,0.467125,52.25249011
5,1,53.84133333,0.7004,76.87226347
5,2,30.04633333,0.5935,50.62566695
5,3,28.3111,0.550625,51.41629966
5,4,22.95727273,0.454818182,50.47571457
5,5,15.54766667,0.294133333,52.85924751
6,1,20.97930769,0.402461538,52.12748471
6,2,45.00547368,0.825263158,54.53469388
6,3,10.973625,0.194,56.56507732
6,4,32.9629,0.521222222,63.24154764
6,5,19.74530769,0.285785714,69.0913041
7,1,34.23206667,0.690266667,49.59252463
7,2,11.81934615,0.192066667,61.53772728
7,3,22.03,0.388136364,56.75840262
7,4,22.66946667,0.322066667,70.38749741
7,5,24.186625,0.3658125,66.11754656
8,1,35.04146667,0.621444444,56.38712677
8,2,29.62207143,0.551875,53.67532762
8,3,18.5432,0.361461538,51.30061715
8,4,16.7426,0.2569,65.17166213
8,5,37.43771429,0.5355,69.91169801
9,1,30.84625,0.555214286,55.5573781
9,2,32.9866,0.5874,56.15696289
9,3,25.95692857,0.584571429,44.403348
9,4,23.46347826,0.490458333,47.8399013
9,5,14.12328571,0.275230769,51.31434161
10,1,35.00581818,0.853,41.03847384
10,2,46.44369231,0.677777778,68.52348045
10,3,27.54841667,0.555692308,49.57494694
10,4,35.3672,0.4688,75.44197952
10,5,25.45882774,0.520647059,48.89843765
11,1,34.41393333,0.5436875,63.29726789
11,2,31.15414286,0.5383125,57.87371249
11,3,31.064,0.528,58.83333333
11,4,33.1,0.636125,52.03379839
11,5,15.9484,0.321,49.6834891
12,1,37.90586667,0.613733333,61.76276342
12,2,43.8115625,0.767411765,57.09003239
12,3,40.40627778,0.754055556,53.5852796
12,4,40.64588889,0.759666667,53.50489981
12,5,41.79584615,0.762866667,54.78787838
13,1,42.37845455,0.72975,58.07256532
13,2,39.568,0.786071429,50.33639255
13,3,34.777,0.607416667,57.2539443
13,4,43.4065,0.6993,62.07135707
13,5,54.57275,1.077222222,50.66062403
14,1,23.9991,0.3771,63.64120923
14,2,36.1748,0.645363636,56.05335963
14,3,34.1877,0.5097,67.07416127
14,4,32.3263,0.489,66.10695297
14,5,20.47816667,0.342,59.87768031
15,1,48.93138462,0.759666667,64.41165153
15,2,35.6105,0.624736842,57.00080034
15,3,23.87957143,0.495714286,48.17204611
15,4,40.17577778,0.82,48.99485095
15,5,30.0867,0.6887,43.68622042
16,1,28.064,0.412,68.11650485
16,2,29.02844444,0.4256,68.2059315
16,3,17.13047368,0.303105263,56.51658274
16,4,20.41381818,0.320636364,63.66657216
16,5,31.66952632,0.538166667,58.84706036
17,1,21.0015,0.373142857,56.28273354
17,2,26.26093333,0.403789474,65.0362009
17,3,17.462,0.278578947,62.68241073
17,4,17.449375,0.3086,56.54366494
17,5,15.1877,0.198136364,76.6527644
18,1,16.02138462,0.332846154,48.13450428
18,2,27.9488125,0.4334,64.48733849
18,3,25.61030769,0.346,74.01823032
18,4,15.59209091,0.3066,50.8548301
18,5,26.92683333,0.317636364,84.77251479
19,1,38.67233333,0.738,52.40153568
19,2,43.54468421,0.789055556,55.18582805
19,3,30.57782353,0.585294118,52.24351759
19,4,28.418,0.571416667,49.73253609
19,5,20.1838,0.4239,47.61453173
20,1,26.25445455,0.523076923,50.19233957
20,2,34.07976471,0.58,58.75821501
20,3,49.01738462,1.046923077,46.82042616
20,4,27.9153125,0.524470588,53.22569678
20,5,38.55957895,0.707043478,54.53636181
21,1,31.13133333,0.608125,51.19232614
21,2,29.38345455,0.550357143,53.38979411
21,3,26.40730769,0.565666667,46.68351389
21,4,27.41635714,0.574142857,47.75180393
21,5,28.4609375,0.509117647,55.90247689